Date,TotalCases,NewCases,NewCases7Day,TotalDeaths,NewDeaths,DayTests,TotalTests,DayTestsNegative,TotalTestsNegative,TotalRecovered,PBANewCases,CABANewCases,PBANewCases7Day,CABANewCases7Day,PBATotalCases,CABATotalCases,ICUBeds,CABAICUBeds,ICUBedsRate,ICUBedsAMBARate
2020-07-12,100166,2657,3193,1845,35,6910,392584,4253,292418,44173,1633,754,1955,1007,54490,38477,735,,52,59.5
2020-07-13,103265,3099,3260,1903,58,7873,400457,4774,297192,45467,2002,860,2030,988,56492,39337,752,,52.7,60.8
2020-07-14,106910,3645,3355,1968,65,9528,409985,5883,303075,47298,2262,1039,2103,990,58754,40376,772,,52.9,61.3
2020-07-15,111159,4249,3447,2050,82,10922,420907,6673,309748,49120,2734,1220,2176,1004,61488,41596,783,,53.7,63.7
2020-07-16,114783,3624,3441,2112,62,9273,430180,5649,315397,49780,2545,854,2201,975,64033,42450,793,,53.9,64
2020-07-17,119301,4518,3606,2178,66,10737,440917,6219,321616,52607,3002,1082,2327,980,67035,43532,823,,53.7,63.2
2020-07-18,122524,3223,3574,2204,26,7575,448492,4352,325968,54105,1817,1105,2285,988,68852,44637,824,,54.4,63.9
2020-07-19,126755,4231,3798,2260,56,9781,458273,5550,331518,55913,2761,1115,2446,1039,71613,45752,842,,54.6,65
2020-07-20,130692,3937,3918,2373,113,9738,468011,5801,337319,58598,2556,1090,2525,1072,74169,46842,831,,55.6,65
2020-07-21,136036,5344,4161,2490,117,12788,480799,7444,344763,60531,3477,1452,2699,1131,77646,48294,890,,55.5,65.4
2020-07-22,141818,5782,4380,2588,98,12959,493758,7177,351940,62815,3801,1390,2851,1155,81447,49684,902,,55,64.3
2020-07-23,147945,6127,4737,2702,114,14025,507783,7898,359838,65447,4300,1267,3102,1214,85747,50951,913,,55.4,64
2020-07-24,153438,5493,4877,2807,105,12980,520763,7487,367325,68022,3790,1870,3215,1327,89537,52821,955,,55.5,64.3
2020-07-25,158252,4814,5104,2893,86,11295,532058,6481,373806,70518,3250,1824,3419,1430,92787,54645,980,,54.6,63.3
2020-07-26,162444,4192,5098,2939,46,9408,541466,5216,379022,72575,2917,888,3442,1397,95704,55533,993,,54.1,62.9
2020-07-27,167334,4890,5235,3059,120,10822,552288,5932,384954,75083,3351,1059,3555,1393,99055,56592,,,54.2,63.5
2020-07-28,173273,5939,5320,3179,120,13026,565314,7087,392041,77855,4167,1202,3654,1357,103222,57794,,,54.7,64.1
2020-07-29,178914,5641,5299,3288,109,13712,579026,8071,400112,80596,3852,1079,3661,1313,107074,58873,,,54.5,63.6
2020-07-30,185291,6377,5335,3441,153,14569,593595,8192,408304,83780,4415,1239,3677,1309,111489,60112,,,55.3,64.5
2020-07-31,191220,5929,5397,3542,101,13861,607456,7932,416236,86499,3911,1142,3695,1205,115400,61254,,,55.3,65.5
2020-08-01,196461,5241,5458,3595,53,11364,618820,6123,422359,89026,3586,968,3743,1082,118986,62222,,,55.1,64.5
2020-08-02,201837,5376,5628,3647,52,10587,629407,5211,427570,91302,3797,971,3868,1094,122783,63193,,,55.5,65.2
2020-08-03,206661,4824,5618,3811,164,11406,640813,6582,434152,94129,3158,1051,3841,1093,125941,64244,,,55.5,65
2020-08-04,213453,6792,5740,3979,168,14718,655531,7926,442078,96948,4337,1371,3865,1117,130278,65615,,,56.5,66.4
2020-08-05,220600,7147,5955,4106,127,15703,671234,8556,450634,99852,4676,1467,3983,1173,134954,67082,,,56.3,66.1
2020-08-06,228113,7513,6117,4251,145,15728,686962,8215,458849,103297,4987,1446,4065,1202,139941,68528,,,56.6,66.5
2020-08-07,235595,7482,6339,4411,160,17938,704900,10456,469305,108242,5193,1235,4248,1216,145134,69763,,,56.5,66
2020-08-08,241729,6134,6467,4523,112,13853,718753,7719,477024,170109,4053,966,4314,1215,149187,70729,,,56.3,65.8
2020-08-09,246417,4688,6369,4606,83,9831,728584,5143,482167,174974,2904,873,4187,1201,152091,71602,,,56.8,66.7
2020-08-10,253786,7369,6732,4764,158,15827,744411,8458,490625,181389,4576,1200,4389,1223,156667,72802,,,57.3,67.4
2020-08-11,260829,7043,6768,5004,240,17149,761560,10106,500731,187283,5153,1163,4506,1193,161820,73965,,,58.2,68.6
2020-08-12,268492,7663,6842,5213,209,18107,779667,10444,511175,192434,4983,1120,4550,1143,166803,75085,,,58.3,68.4
2020-08-13,275990,7498,6840,5362,149,18276,797943,10778,521953,199005,4157,1012,4431,1081,170960,76097,,,58.3,68.3
2020-08-14,282355,6365,6680,5527,165,16906,814849,10541,532494,205697,4438,915,4323,1036,175398,77012,,,58.9,68.6
2020-08-15,289018,6663,6756,5637,110,16259,831108,9596,542090,211702,3177,972,4198,1036,178575,77984,,,58.6,68.5
2020-08-16,294487,5469,6867,5703,66,12985,844093,7516,549606,217850,4157,1012,4377,1056,182732,78996,,,58.6,68.5
2020-08-17,294487,,5814,,,,,0,549606,,,,3724,885,182732,78996,,,,
